name|effect|imageUrl
Ability Capsule|A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.|https://img.pokemondb.net/sprites/items/ability-capsule.png
Ability Urge|When used, it activates the Ability of an ally Pokémon.|https://img.pokemondb.net/sprites/items/ability-urge.png
Abomasite|Enables Abomasnow to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/abomasite.png
Absolite|Enables Absol to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/absolite.png
Absorb Bulb|A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.|https://img.pokemondb.net/sprites/items/absorb-bulb.png
Adamant Orb|Increases the power of Dragon- and Steel-type moves when held by Dialga.|https://img.pokemondb.net/sprites/items/adamant-orb.png
Adrenaline Orb|Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.|https://img.pokemondb.net/sprites/items/adrenaline-orb.png
Aerodactylite|Enables Aerodactyl to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/aerodactylite.png
Aggronite|Enables Aggron to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/aggronite.png
Aguav Berry|Restores HP if it's low, but may cause confusion.|https://img.pokemondb.net/sprites/items/aguav-berry.png
Air Balloon|When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.|https://img.pokemondb.net/sprites/items/air-balloon.png
Alakazite|Enables Alakazam to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/alakazite.png
Aloraichium Z|Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer.|https://img.pokemondb.net/sprites/items/aloraichium-z.png
Altarianite|Enables Altaria to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/altarianite.png
Ampharosite|Enables Ampharos to Mega Evolve during battle.|https://img.pokemondb.net/sprites/items/ampharosite.png
Amulet Coin|Doubles prize money if held.|https://img.pokemondb.net/sprites/items/amulet-coin.png
Antidote|A spray-type medicine. It lifts the effect of poison from one Pokémon.|https://img.pokemondb.net/sprites/items/antidote.png
Apicot Berry|Raises Special Defense when HP is low.|https://img.pokemondb.net/sprites/items/apicot-berry.png
Armor Fossil|A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.|https://img.pokemondb.net/sprites/items/armor-fossil.png
