name|type|power|accuracy|pp|effect|effectProbability
10,000,000 Volt Thunderbolt|Electric|195|\N|1|Pikachu-exclusive Z-Move.|\N
Absorb|Grass|20|100|25|User recovers half the HP inflicted on opponent.|\N
Accelerock|Rock|40|100|20|User attacks first.|\N
Acid|Poison|40|100|30|May lower opponent's Special Defense.|10
Acid Armor|Poison|\N|\N|20|Sharply raises user's Defense.|\N
Acid Downpour|Poison|\N|\N|1|Poison type Z-Move.|\N
Acid Spray|Poison|40|100|20|Sharply lowers opponent's Special Defense.|100
Acrobatics|Flying|55|100|15|Stronger when the user does not have a held item.|\N
Acupressure|Normal|\N|\N|30|Sharply raises a random stat.|\N
Aerial Ace|Flying|60|∞|20|Ignores Accuracy and Evasiveness.|\N
Aeroblast|Flying|100|95|5|High critical hit ratio.|\N
After You|Normal|\N|\N|15|Gives target priority in the next turn.|\N
Agility|Psychic|\N|\N|30|Sharply raises user's Speed.|\N
Air Cutter|Flying|60|95|25|High critical hit ratio.|\N
Air Slash|Flying|75|95|20|May cause flinching.|30
All-Out Pummeling|Fighting|\N|\N|1|Fighting type Z-Move.|\N
Ally Switch|Psychic|\N|\N|15|User switches with opposite teammate.|\N
Amnesia|Psychic|\N|\N|20|Sharply raises user's Special Defense.|\N
Anchor Shot|Steel|80|100|20|The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.|\N
Ancient Power|Rock|60|100|5|May raise all user's stats at once.|10
Aqua Jet|Water|40|100|20|User attacks first.|\N
Aqua Ring|Water|\N|\N|20|Restores a little HP each turn.|\N
Aqua Tail|Water|90|90|10|\N|\N
Arm Thrust|Fighting|15|100|20|Hits 2-5 times in one turn.|\N
Aromatherapy|Grass|\N|\N|5|Cures all status problems in your party.|\N
Aromatic Mist|Fairy|\N|\N|20|Raises Special Defense of allies.|\N
Assist|Normal|\N|\N|20|User performs a move known by its allies at random.|\N
Assurance|Dark|60|100|10|Power doubles if opponent already took damage in the same turn.|\N
Astonish|Ghost|30|100|15|May cause flinching.|30
Attack Order|Bug|90|100|15|High critical hit ratio.|\N
Attract|Normal|\N|100|15|If opponent is the opposite gender, it's less likely to attack.|\N
Aura Sphere|Fighting|80|∞|20|Ignores Accuracy and Evasiveness.|\N
Aurora Beam|Ice|65|100|20|May lower opponent's Attack.|10
Aurora Veil|Ice|\N|\N|20|Halves damage from Physical and Special attacks for five turns.|\N
Autotomize|Steel|\N|\N|15|Reduces weight and sharply raises Speed.|\N
Avalanche|Ice|60|100|10|Power doubles if user took damage first.|\N
Baby-Doll Eyes|Fairy|\N|100|30|Always goes first. Lowers the target's attack.|\N
Baddy Bad|Dark|90|100|15|Reduces damage from Physical attacks.|\N
Baneful Bunker|Poison|\N|\N|10|Protects the user and poisons opponent on contact.|\N
Barrage|Normal|15|85|20|Hits 2-5 times in one turn.|\N
Barrier|Psychic|\N|\N|20|Sharply raises user's Defense.|\N
Baton Pass|Normal|\N|\N|40|User switches out and gives stat changes to the incoming Pokémon.|\N
Beak Blast|Flying|100|100|15|The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.|\N
Beat Up|Dark|\N|100|30|Each Pokémon in your party attacks.|\N
Belch|Poison|120|90|10|User must have consumed a Berry.|\N
Belly Drum|Normal|\N|\N|10|User loses 50% of its max HP, but Attack raises to maximum.|\N
Bestow|Normal|\N|\N|15|Gives the user's held item to the target.|\N
Bide|Normal|\N|\N|10|User takes damage for two turns then strikes back double.|\N
Bind|Normal|15|85|20|Traps opponent, damaging them for 4-5 turns.|\N
Bite|Dark|60|100|25|May cause flinching.|30
Black Hole Eclipse|Dark|\N|\N|1|Dark type Z-Move.|\N
Blast Burn|Fire|150|90|5|User must recharge next turn.|\N
Blaze Kick|Fire|85|90|10|High critical hit ratio. May burn opponent.|10
Blizzard|Ice|110|70|5|May freeze opponent.|10
Block|Normal|\N|\N|5|Opponent cannot flee or switch.|\N
Bloom Doom|Grass|\N|\N|1|Grass type Z-Move.|\N
Blue Flare|Fire|130|85|5|May burn opponent.|20
Body Slam|Normal|85|100|15|May paralyze opponent.|30
Bolt Strike|Electric|130|85|5|May paralyze opponent.|20
Bone Club|Ground|65|85|20|May cause flinching.|10
Bone Rush|Ground|25|90|10|Hits 2-5 times in one turn.|\N
Bonemerang|Ground|50|90|10|Hits twice in one turn.|\N
Boomburst|Normal|140|100|10|Hits all adjacent Pokémon.|\N
Bounce|Flying|85|85|5|Springs up on first turn, attacks on second. May paralyze opponent.|30
Bouncy Bubble|Water|90|100|15|User recovers half the HP inflicted on opponent.|\N
Brave Bird|Flying|120|100|15|User receives recoil damage.|\N
Breakneck Blitz|Normal|\N|\N|1|Normal type Z-Move.|\N
Brick Break|Fighting|75|100|15|Breaks through Reflect and Light Screen barriers.|\N
Brine|Water|65|100|10|Power doubles if opponent's HP is less than 50%.|\N
Brutal Swing|Dark|60|100|20|The user swings its body around violently to inflict damage on everything in its vicinity.|\N
Bubble|Water|40|100|30|May lower opponent's Speed.|10
Bubble Beam|Water|65|100|20|May lower opponent's Speed.|10
Bug Bite|Bug|60|100|20|Receives the effect from the opponent's held berry.|\N
Bug Buzz|Bug|90|100|10|May lower opponent's Special Defense.|10
Bulk Up|Fighting|\N|\N|20|Raises user's Attack and Defense.|\N
Bulldoze|Ground|60|100|20|Lowers opponent's Speed.|100
Bullet Punch|Steel|40|100|30|User attacks first.|\N
Bullet Seed|Grass|25|100|30|Hits 2-5 times in one turn.|\N
Burn Up|Fire|130|100|5|To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.|\N
Buzzy Buzz|Electric|90|100|15|Paralyzes the opponent.|100
Calm Mind|Psychic|\N|\N|20|Raises user's Special Attack and Special Defense.|\N
Camouflage|Normal|\N|\N|20|Changes user's type according to the location.|\N
Captivate|Normal|\N|100|20|Sharply lowers opponent's Special Attack if opposite gender.|\N
Catastropika|Electric|210|\N|1|Pikachu-exclusive Z-Move.|\N
Celebrate|Normal|\N|\N|40|The Pokémon congratulates you on your special day. No battle effect.|\N
Charge|Electric|\N|\N|20|Raises user's Special Defense and next Electric move's power increases.|\N
Charge Beam|Electric|50|90|10|May raise user's Special Attack.|70
Charm|Fairy|\N|100|20|Sharply lowers opponent's Attack.|\N
Chatter|Flying|65|100|20|Confuses opponent.|100
Chip Away|Normal|70|100|20|Ignores opponent's stat changes.|\N
Circle Throw|Fighting|60|90|10|In battles, the opponent switches. In the wild, the Pokémon runs.|\N
Clamp|Water|35|85|10|Traps opponent, damaging them for 4-5 turns.|\N
Clanging Scales|Dragon|110|100|5|Lowers user's Defense.|\N
Clangorous Soulblaze|Dragon|185|\N|1|Kommo-o exclusive Z-Move.|\N
Clear Smog|Poison|50|\N|15|Removes all of the target's stat changes.|\N
Close Combat|Fighting|120|100|5|Lowers user's Defense and Special Defense.|\N
Coil|Poison|\N|\N|20|Raises user's Attack, Defense and Accuracy.|\N
Comet Punch|Normal|18|85|15|Hits 2-5 times in one turn.|\N
Confide|Normal|\N|\N|20|Lowers opponent's Special Attack.|\N
Confuse Ray|Ghost|\N|100|10|Confuses opponent.|\N
Confusion|Psychic|50|100|25|May confuse opponent.|10
Constrict|Normal|10|100|35|May lower opponent's Speed by one stage.|10
Continental Crush|Rock|\N|\N|1|Rock type Z-Move.|\N
Conversion|Normal|\N|\N|30|Changes user's type to that of its first move.|\N
Conversion 2|Normal|\N|\N|30|User changes type to become resistant to opponent's last move.|\N
Copycat|Normal|\N|\N|20|Copies opponent's last move.|\N
Core Enforcer|Dragon|100|100|10|Scorches a 'Z' pattern on the ground.|\N
Corkscrew Crash|Steel|\N|\N|1|Steel type Z-Move.|\N
Cosmic Power|Psychic|\N|\N|20|Raises user's Defense and Special Defense.|\N
Cotton Guard|Grass|\N|\N|10|Drastically raises user's Defense.|\N
Cotton Spore|Grass|\N|100|40|Sharply lowers opponent's Speed.|\N
