name|riseStat|dropStat
Hardy|NULL|NULL
Lonely|ATTACK|DEFENSE
Brave|ATTACK|SPEED
Adamant|ATTACK|SPECIAL_ATTACK
Naughty|ATTACK|SPECIAL_DEFENSE
Bold|DEFENSE|ATTACK
Docile|NULL|NULL
Relaxed|DEFENSE|SPEED
Impish|DEFENSE|SPECIAL_ATTACK
Lax|DEFENSE|SPECIAL_DEFENSE
Timid|SPEED|ATTACK
Hasty|SPEED|DEFENSE
Serious|NULL|NULL
Jolly|SPEED|SPECIAL_ATTACK
Naive|SPEED|SPECIAL_DEFENSE
Modest|SPECIAL_ATTACK|ATTACK
Mild|SPECIAL_ATTACK|DEFENSE
Quiet|SPECIAL_ATTACK|SPEED
Bashful|NULL|NULL
Rash|SPECIAL_ATTACK|SPECIAL_DEFENSE
Calm|SPECIAL_DEFENSE|ATTACK
Gentle|SPECIAL_DEFENSE|DEFENSE
Sassy|SPECIAL_DEFENSE|SPEED
Careful|SPECIAL_DEFENSE|SPECIAL_ATTACK
Quirky|NULL|NULL
