number|name|form|mainType|subType|totalBaseStat|hpBaseStat|attackBaseStat|defenseBaseStat|specialAttackBaseStat|specialDefenseBaseStat|speedBaseStat|imageUrl
001|Bulbasaur|\N|Grass|Poison|318|45|49|49|65|65|45|https://img.pokemondb.net/sprites/sun-moon/icon/bulbasaur.png
002|Ivysaur|\N|Grass|Poison|405|60|62|63|80|80|60|https://img.pokemondb.net/sprites/sun-moon/icon/ivysaur.png
003|Venusaur|\N|Grass|Poison|525|80|82|83|100|100|80|https://img.pokemondb.net/sprites/sun-moon/icon/venusaur.png
003|Venusaur|Mega Venusaur|Grass|Poison|625|80|100|123|122|120|80|https://img.pokemondb.net/sprites/sun-moon/icon/venusaur-mega.png
004|Charmander|\N|Fire|\N|309|39|52|43|60|50|65|https://img.pokemondb.net/sprites/sun-moon/icon/charmander.png
005|Charmeleon|\N|Fire|\N|405|58|64|58|80|65|80|https://img.pokemondb.net/sprites/sun-moon/icon/charmeleon.png
006|Charizard|\N|Fire|Flying|534|78|84|78|109|85|100|https://img.pokemondb.net/sprites/sun-moon/icon/charizard.png
006|Charizard|Mega Charizard X|Fire|Dragon|634|78|130|111|130|85|100|https://img.pokemondb.net/sprites/sun-moon/icon/charizard-mega-x.png
006|Charizard|Mega Charizard Y|Fire|Flying|634|78|104|78|159|115|100|https://img.pokemondb.net/sprites/sun-moon/icon/charizard-mega-y.png
007|Squirtle|\N|Water|\N|314|44|48|65|50|64|43|https://img.pokemondb.net/sprites/sun-moon/icon/squirtle.png
008|Wartortle|\N|Water|\N|405|59|63|80|65|80|58|https://img.pokemondb.net/sprites/sun-moon/icon/wartortle.png
009|Blastoise|\N|Water|\N|530|79|83|100|85|105|78|https://img.pokemondb.net/sprites/sun-moon/icon/blastoise.png
009|Blastoise|Mega Blastoise|Water|\N|630|79|103|120|135|115|78|https://img.pokemondb.net/sprites/sun-moon/icon/blastoise-mega.png
010|Caterpie|\N|Bug|\N|195|45|30|35|20|20|45|https://img.pokemondb.net/sprites/sun-moon/icon/caterpie.png
011|Metapod|\N|Bug|\N|205|50|20|55|25|25|30|https://img.pokemondb.net/sprites/sun-moon/icon/metapod.png
012|Butterfree|\N|Bug|Flying|395|60|45|50|90|80|70|https://img.pokemondb.net/sprites/sun-moon/icon/butterfree.png
013|Weedle|\N|Bug|Poison|195|40|35|30|20|20|50|https://img.pokemondb.net/sprites/sun-moon/icon/weedle.png
014|Kakuna|\N|Bug|Poison|205|45|25|50|25|25|35|https://img.pokemondb.net/sprites/sun-moon/icon/kakuna.png
015|Beedrill|\N|Bug|Poison|395|65|90|40|45|80|75|https://img.pokemondb.net/sprites/sun-moon/icon/beedrill.png
015|Beedrill|Mega Beedrill|Bug|Poison|495|65|150|40|15|80|145|https://img.pokemondb.net/sprites/sun-moon/icon/beedrill-mega.png
016|Pidgey|\N|Normal|Flying|251|40|45|40|35|35|56|https://img.pokemondb.net/sprites/sun-moon/icon/pidgey.png
017|Pidgeotto|\N|Normal|Flying|349|63|60|55|50|50|71|https://img.pokemondb.net/sprites/sun-moon/icon/pidgeotto.png
018|Pidgeot|\N|Normal|Flying|479|83|80|75|70|70|101|https://img.pokemondb.net/sprites/sun-moon/icon/pidgeot.png
018|Pidgeot|Mega Pidgeot|Normal|Flying|579|83|80|80|135|80|121|https://img.pokemondb.net/sprites/sun-moon/icon/pidgeot-mega.png
019|Rattata|\N|Normal|\N|253|30|56|35|25|35|72|https://img.pokemondb.net/sprites/sun-moon/icon/rattata.png
019|Rattata|Alolan Rattata|Dark|Normal|253|30|56|35|25|35|72|https://img.pokemondb.net/sprites/sun-moon/icon/rattata-alolan.png
020|Raticate|\N|Normal|\N|413|55|81|60|50|70|97|https://img.pokemondb.net/sprites/sun-moon/icon/raticate.png
020|Raticate|Alolan Raticate|Dark|Normal|413|75|71|70|40|80|77|https://img.pokemondb.net/sprites/sun-moon/icon/raticate-alolan.png
021|Spearow|\N|Normal|Flying|262|40|60|30|31|31|70|https://img.pokemondb.net/sprites/sun-moon/icon/spearow.png
022|Fearow|\N|Normal|Flying|442|65|90|65|61|61|100|https://img.pokemondb.net/sprites/sun-moon/icon/fearow.png
023|Ekans|\N|Poison|\N|288|35|60|44|40|54|55|https://img.pokemondb.net/sprites/sun-moon/icon/ekans.png
024|Arbok|\N|Poison|\N|448|60|95|69|65|79|80|https://img.pokemondb.net/sprites/sun-moon/icon/arbok.png
025|Pikachu|\N|Electric|\N|320|35|55|40|50|50|90|https://img.pokemondb.net/sprites/sun-moon/icon/pikachu.png
025|Pikachu|Partner Pikachu|Electric|\N|430|45|80|50|75|60|120|https://img.pokemondb.net/sprites/sun-moon/icon/pikachu-lets-go.png
026|Raichu|\N|Electric|\N|485|60|90|55|90|80|110|https://img.pokemondb.net/sprites/sun-moon/icon/raichu.png
026|Raichu|Alolan Raichu|Electric|Psychic|485|60|85|50|95|85|110|https://img.pokemondb.net/sprites/sun-moon/icon/raichu-alolan.png
