title|prizeName
Gym Leader|A Badge
Gym Leader|B Badge
Gym Leader|C Badge
Gym Leader|D Badge
Gym Leader|E Badge
Gym Leader|F Badge
Gym Leader|G Badge
Gym Leader|H Badge
Gym Leader|I Badge
Gym Leader|J Badge
League Baron|Champion's Crest
League Champion|Champion's Trophy
Arena Tycoon|Guts Symbol
Dome Ace|Tactics Symbol
Factory Head|Knowledge Symbol
Palace Maven|Spirits Symbol
Pike Queen|Luck Symbol
Pyramid King|Brace Symbol
Salon Maiden|Ability Symbol
Tower Tycoon|Clever Symbol
Arcade Star|Joy Symbol
Castle Valet|Stamina Symbol
Hall Matron|Growth Symbol
World Noble|World Champion's Regalia
World Champion|World Champion's Medal
